Metric	Class	Class depth	LR	Positive Cases	Positive cases average depth	Positive cases average distance to LR class	Negative Cases	Negative cases average depth	Negative cases average distance to LR class	Metric Value	Hierarchy
Lexically suggest logically define	http://snomed.info/id/87572000	6	reflex	375	6.533	0.725	125	7.128	1.432	0.750	Observable entity
Lexically suggest logically define	http://snomed.info/id/260769002	3	material	273	6.055	3.055	234	6.658	3.658	0.538	Substance
Lexically suggest logically define	http://snomed.info/id/276731003	6	material	17	7.000	1.000	490	6.304	1.129	0.034	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/256259004	7	pollen	322	8.385	2.205	35	8.686	1.686	0.902	Substance
Lexically suggest logically define	http://snomed.info/id/6920004	7	defect	280	7.989	1.411	306	7.176	1.033	0.478	Body structure
Lexically suggest logically define	http://snomed.info/id/738904002	4	cutaneous	1088	6.417	2.417	414	8.408	4.408	0.724	Qualifier value
Lexically suggest logically define	http://snomed.info/id/410679008	6	surface	0	NaN	NaN	1561	10.629	4.684	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/410678000	7	surface	0	NaN	NaN	1561	10.628	3.781	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/721963009	6	order	3	7.000	1.000	410	7.793	1.910	0.007	Record artifact
Lexically suggest logically define	http://snomed.info/id/64957009	6	uncertain	0	NaN	NaN	580	8.533	2.584	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/367450005	5	short	0	NaN	NaN	364	7.544	2.626	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/123038009	2	specimen	1462	5.846	3.846	389	5.895	3.895	0.790	Specimen
Lexically suggest logically define	http://snomed.info/id/70905002	5	third	0	NaN	NaN	1044	10.180	5.197	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/72906007	6	common	0	NaN	NaN	496	8.841	2.946	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/261080001	7	femoral	0	NaN	NaN	659	8.074	1.621	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/409073007	4	education	814	6.151	2.151	120	6.867	2.867	0.872	Procedure
Lexically suggest logically define	http://snomed.info/id/736847009	5	prolonged-release	398	6.960	1.965	0	NaN	NaN	1.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/50960005	6	hemorrhage	721	6.337	1.069	112	7.339	2.036	0.866	Body structure
Lexically suggest logically define	http://snomed.info/id/417893002	3	deformity	331	6.305	3.305	162	7.130	4.130	0.671	Clinical finding
Lexically suggest logically define	http://snomed.info/id/6081001	6	deformity	378	6.386	1.148	115	7.174	1.348	0.767	Body structure
Lexically suggest logically define	http://snomed.info/id/263954005	7	arterial	0	NaN	NaN	429	7.625	1.389	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/86495002	6	for	0	NaN	NaN	5715	6.950	1.501	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/81170007	5	second	0	NaN	NaN	901	9.839	4.877	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/26242008	5	mixed	0	NaN	NaN	352	8.747	3.770	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/398092000	7	obtained	0	NaN	NaN	574	5.798	1.533	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/763824009	5	gas	5	5.400	1.200	457	7.048	2.083	0.011	Qualifier value
Lexically suggest logically define	http://snomed.info/id/736680000	4	gas	5	5.600	1.600	457	7.048	3.048	0.011	Qualifier value
Lexically suggest logically define	http://snomed.info/id/64572001	3	disease	2134	7.246	4.246	528	7.025	4.025	0.802	Clinical finding
Lexically suggest logically define	http://snomed.info/id/255507004	5	small	10	9.400	4.400	738	8.405	3.427	0.013	Qualifier value
Lexically suggest logically define	http://snomed.info/id/26283006	6	superficial	0	NaN	NaN	864	8.513	2.580	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/371150009	6	able	741	9.109	3.126	81	7.358	1.580	0.901	Qualifier value
Lexically suggest logically define	http://snomed.info/id/52101004	5	present	159	6.484	1.535	459	6.678	1.760	0.257	Qualifier value
Lexically suggest logically define	http://snomed.info/id/415582006	8	stenosis	421	8.107	1.152	45	8.733	1.400	0.903	Body structure
Lexically suggest logically define	http://snomed.info/id/246199000	6	deficiency	0	NaN	NaN	1611	7.169	1.287	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/264082005	7	lumbar	0	NaN	NaN	1167	8.509	1.939	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/34957004	6	acid	115	7.261	1.417	2503	7.867	2.067	0.044	Substance
Lexically suggest logically define	http://snomed.info/id/255227004	8	recurrent	289	7.035	1.180	157	7.771	1.325	0.648	Qualifier value
Lexically suggest logically define	http://snomed.info/id/261324000	3	vehicle	26	5.654	2.654	491	8.599	5.599	0.050	Physical object
Lexically suggest logically define	http://snomed.info/id/85659009	7	aneurysm	481	7.590	1.214	31	7.677	1.258	0.939	Body structure
Lexically suggest logically define	http://snomed.info/id/432119003	6	aneurysm	242	8.198	2.223	270	7.059	1.393	0.473	Clinical finding
Lexically suggest logically define	http://snomed.info/id/257351008	7	shunt	147	5.891	1.422	268	6.922	1.108	0.354	Physical object
Lexically suggest logically define	http://snomed.info/id/14414005	6	peripheral	0	NaN	NaN	729	7.790	1.982	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/276625007	6	level	7	7.000	1.000	1656	8.046	2.193	0.004	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/68498002	5	antibody	4052	9.454	4.457	110	6.836	1.873	0.974	Substance
Lexically suggest logically define	http://snomed.info/id/5540006	7	calcium	54	7.722	1.093	395	7.175	1.005	0.120	Substance
Lexically suggest logically define	http://snomed.info/id/62482003	5	low	10	6.600	1.600	648	7.867	2.907	0.015	Qualifier value
Lexically suggest logically define	http://snomed.info/id/49370004	6	lateral	2	7.000	1.000	1492	9.909	3.950	0.001	Qualifier value
Lexically suggest logically define	http://snomed.info/id/363679005	5	imaging	992	7.014	2.054	272	6.415	1.577	0.785	Procedure
Lexically suggest logically define	http://snomed.info/id/277046005	7	class	2	8.000	1.000	427	7.415	1.300	0.005	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/90734009	6	chronic	1270	6.846	1.009	380	7.529	1.792	0.770	Qualifier value
Lexically suggest logically define	http://snomed.info/id/421890007	5	oil	7	6.429	1.429	446	6.785	1.798	0.015	Qualifier value
Lexically suggest logically define	http://snomed.info/id/21847005	8	oil	328	6.588	1.442	125	7.256	1.384	0.724	Substance
Lexically suggest logically define	http://snomed.info/id/49062001	3	device	1708	6.783	3.783	444	6.266	3.266	0.794	Physical object
Lexically suggest logically define	http://snomed.info/id/20401003	6	with	0	NaN	NaN	10616	7.495	1.769	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/58147004	6	clinical	0	NaN	NaN	405	6.590	1.652	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255603008	7	major	0	NaN	NaN	455	7.866	1.284	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/65801008	6	excision	1986	7.701	1.814	85	6.953	1.235	0.959	Procedure
Lexically suggest logically define	http://snomed.info/id/7120007	5	antigen	1944	8.175	3.176	535	8.536	3.578	0.784	Substance
Lexically suggest logically define	http://snomed.info/id/263775005	5	health	0	NaN	NaN	626	6.121	1.345	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738988002	4	urethral	10	5.700	1.700	426	8.721	4.721	0.023	Qualifier value
Lexically suggest logically define	http://snomed.info/id/264255005	7	urethral	0	NaN	NaN	436	8.644	2.291	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/257585005	6	clinic	130	7.023	1.023	258	7.155	1.256	0.335	Environment or geographical location
Lexically suggest logically define	http://snomed.info/id/255509001	5	large	1	6.000	1.000	518	8.440	3.475	0.002	Qualifier value
Lexically suggest logically define	http://snomed.info/id/112133008	7	immunoglobulin	259	9.062	2.378	1994	8.688	1.814	0.115	Substance
Lexically suggest logically define	http://snomed.info/id/87612001	5	blood	181	6.514	1.680	3567	8.329	3.386	0.048	Substance
Lexically suggest logically define	http://snomed.info/id/732985006	5	block	0	NaN	NaN	402	7.545	2.550	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/276239002	4	therapy	316	6.566	2.566	1092	6.334	2.338	0.224	Procedure
Lexically suggest logically define	http://snomed.info/id/24028007	6	right	3517	8.966	3.014	1307	8.963	3.056	0.729	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255536004	6	extension	0	NaN	NaN	723	6.968	2.332	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/77343006	6	angiography	454	7.317	1.511	24	6.083	0.750	0.950	Procedure
Lexically suggest logically define	http://snomed.info/id/42798000	6	area	1	7.000	1.000	461	8.939	3.095	0.002	Qualifier value
Lexically suggest logically define	http://snomed.info/id/55561003	6	active	0	NaN	NaN	589	8.642	2.689	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/26036001	7	obstruction	441	7.941	1.553	137	7.891	1.182	0.763	Body structure
Lexically suggest logically define	http://snomed.info/id/129264002	3	action	372	5.892	2.892	447	5.481	2.481	0.454	Qualifier value
Lexically suggest logically define	http://snomed.info/id/273248003	6	action	0	NaN	NaN	819	5.664	1.015	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/261089000	6	inferior	0	NaN	NaN	869	9.754	3.795	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255470001	6	local	2	7.000	1.000	533	7.176	1.364	0.004	Qualifier value
Lexically suggest logically define	http://snomed.info/id/261217004	6	substance	3	7.000	1.000	850	5.836	1.069	0.004	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/105590001	2	substance	690	5.793	3.793	163	6.067	4.067	0.809	Substance
Lexically suggest logically define	http://snomed.info/id/263904004	5	traumatic	0	NaN	NaN	1009	7.933	2.956	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/262094002	7	related	0	NaN	NaN	950	7.798	1.499	0.000	Clinical finding
Lexically suggest logically define	http://snomed.info/id/72670004	5	sign	157	5.981	1.006	266	6.406	1.459	0.371	Clinical finding
Lexically suggest logically define	http://snomed.info/id/116647005	4	receptor	90	6.433	2.433	452	6.113	2.113	0.166	Substance
Lexically suggest logically define	http://snomed.info/id/29970001	5	fourth	0	NaN	NaN	546	10.892	5.903	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/10546003	6	site	0	NaN	NaN	845	7.205	1.664	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/246115007	6	size	0	NaN	NaN	364	7.451	1.681	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/260521003	6	internal	0	NaN	NaN	1098	7.977	2.225	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/277112006	7	abdominal	0	NaN	NaN	1054	7.440	1.283	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/260540009	7	nasal	0	NaN	NaN	890	7.564	1.721	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738948007	4	nasal	173	6.029	2.029	717	7.939	3.939	0.194	Qualifier value
Lexically suggest logically define	http://snomed.info/id/272735005	8	vessel	3	9.000	1.000	695	8.082	1.250	0.004	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/733025002	5	vessel	0	NaN	NaN	698	8.090	3.096	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255594003	6	complete	0	NaN	NaN	571	7.905	2.035	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/276770009	6	serotype	85	7.871	1.871	761	10.920	4.920	0.100	Qualifier value
Lexically suggest logically define	http://snomed.info/id/260820006	7	serotype	12	8.000	1.000	834	10.650	3.652	0.014	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/258684004	6	milligram	603	7.889	1.889	13	6.692	0.846	0.979	Qualifier value
Lexically suggest logically define	http://snomed.info/id/261074009	6	external	0	NaN	NaN	1008	8.010	2.216	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/67822003	7	child	14	6.857	1.286	594	7.099	1.342	0.023	Social context
Lexically suggest logically define	http://snomed.info/id/87568004	5	hormone	202	7.649	2.658	353	6.870	1.909	0.364	Substance
Lexically suggest logically define	http://snomed.info/id/734617007	5	hormone	348	7.296	2.302	207	6.913	1.981	0.627	Qualifier value
Lexically suggest logically define	http://snomed.info/id/415178003	3	process	2	6.000	3.000	639	9.793	6.793	0.003	Observable entity
Lexically suggest logically define	http://snomed.info/id/719982003	3	process	48	6.104	3.104	593	10.079	7.079	0.075	Qualifier value
Lexically suggest logically define	http://snomed.info/id/419351001	7	sinus	41	7.415	0.805	875	8.240	1.814	0.045	Body structure
Lexically suggest logically define	http://snomed.info/id/37378003	6	soft	0	NaN	NaN	866	7.879	2.052	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/385055001	5	tablet	2706	7.178	2.178	30	6.600	1.600	0.989	Qualifier value
Lexically suggest logically define	http://snomed.info/id/732936001	5	tablet	2696	7.191	2.191	40	5.850	0.850	0.985	Qualifier value
Lexically suggest logically define	http://snomed.info/id/261029002	4	sterile	0	NaN	NaN	352	7.986	3.991	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/35105006	4	increased	191	7.770	3.770	378	7.235	3.235	0.336	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255328007	5	auditory	0	NaN	NaN	381	7.774	2.874	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/83578000	6	surgical	0	NaN	NaN	1428	6.880	1.261	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/246343008	7	flap	0	NaN	NaN	821	8.850	2.230	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/256683004	8	flap	604	9.440	2.103	217	7.203	1.313	0.736	Substance
Lexically suggest logically define	http://snomed.info/id/264031007	7	in situ	0	NaN	NaN	599	8.304	1.584	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/736849007	4	conventional release	6071	7.082	3.082	0	NaN	NaN	1.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/397181002	6	open fracture	552	9.259	3.266	38	5.947	1.000	0.936	Clinical finding
Lexically suggest logically define	http://snomed.info/id/59091005	9	open wound	486	8.027	1.117	208	7.308	1.808	0.700	Body structure
Lexically suggest logically define	http://snomed.info/id/125643001	5	open wound	479	8.044	3.044	215	7.312	2.321	0.690	Clinical finding
Lexically suggest logically define	http://snomed.info/id/133860004	5	open reduction	353	6.671	1.739	2	6.000	1.000	0.994	Procedure
Lexically suggest logically define	http://snomed.info/id/272673000	7	bone structure	372	10.288	3.293	0	NaN	NaN	1.000	Body structure
Lexically suggest logically define	http://snomed.info/id/73211009	7	diabetes mellitus	410	7.046	1.007	41	6.341	1.244	0.909	Clinical finding
Lexically suggest logically define	http://snomed.info/id/282721001	6	fluoroscopic guidance	877	6.523	0.875	1	7.000	1.000	0.999	Procedure
Lexically suggest logically define	http://snomed.info/id/24851008	8	deoxyribonucleic acid	268	10.291	2.343	104	7.144	1.471	0.720	Substance
Lexically suggest logically define	http://snomed.info/id/440379008	5	referral to	1	6.000	1.000	594	9.416	4.443	0.002	Observable entity
Lexically suggest logically define	http://snomed.info/id/363556002	4	undetermined intent	0	NaN	NaN	974	7.180	3.182	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/717896003	6	does not	570	9.319	3.333	77	7.169	1.740	0.881	Qualifier value
Lexically suggest logically define	http://snomed.info/id/112283007	9	escherichia coli	703	11.691	2.817	45	7.800	1.600	0.940	Organism
Lexically suggest logically define	http://snomed.info/id/281647001	5	adverse reaction	1666	8.263	3.263	15	4.000	1.000	0.991	Clinical finding
Lexically suggest logically define	http://snomed.info/id/181469002	7	entire skin	0	NaN	NaN	458	11.993	4.993	0.000	Body structure
Lexically suggest logically define	http://snomed.info/id/19227008	6	foreign body	867	6.689	0.970	86	7.977	2.116	0.910	Body structure
Lexically suggest logically define	http://snomed.info/id/125670008	4	foreign body	453	6.658	2.658	500	6.942	2.942	0.475	Clinical finding
Lexically suggest logically define	http://snomed.info/id/709079002	3	allergen extract	394	5.832	2.832	6	6.333	3.333	0.985	Pharmaceutical / biologic product
Lexically suggest logically define	http://snomed.info/id/263916005	6	uncertain behavior	0	NaN	NaN	518	8.550	2.581	0.000	Clinical finding
Lexically suggest logically define	http://snomed.info/id/127484005	6	branch of	0	NaN	NaN	759	10.278	4.283	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/129453003	6	deficiency of	0	NaN	NaN	678	7.178	1.226	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/3527003	7	antibody measurement	644	8.362	1.362	9	7.556	1.222	0.986	Procedure
Lexically suggest logically define	http://snomed.info/id/48583005	11	immunoglobulin e	5	9.600	1.800	1021	9.079	1.929	0.005	Substance
Lexically suggest logically define	http://snomed.info/id/29246005	11	immunoglobulin g	44	8.614	2.432	475	8.478	2.535	0.085	Substance
Lexically suggest logically define	http://snomed.info/id/39937001	6	skin structure	351	11.319	5.319	1	8.000	2.000	0.997	Body structure
Lexically suggest logically define	http://snomed.info/id/181607009	4	soft tissue	0	NaN	NaN	452	7.361	3.365	0.000	Special concept
Lexically suggest logically define	http://snomed.info/id/385268001	4	oral dose form	2955	5.725	1.725	0	NaN	NaN	1.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/411123000	4	diagnostic allergen extract	336	5.961	1.961	56	5.125	1.125	0.857	Pharmaceutical / biologic product
Lexically suggest logically define	http://snomed.info/id/109355002	6	carcinoma in situ	356	8.677	2.677	72	8.597	2.764	0.832	Clinical finding
Lexically suggest logically define	http://snomed.info/id/385287007	4	parenteral dose form	1613	5.581	1.581	0	NaN	NaN	1.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/740596000	4	cutaneous dose form	566	5.783	1.783	0	NaN	NaN	1.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/113091000	6	magnetic resonance imaging	631	7.475	1.621	66	6.833	1.076	0.905	Procedure
Lexically suggest logically define	http://snomed.info/id/19830006	9	blood group antibody	715	11.292	2.365	2	5.500	3.500	0.997	Substance
Lexically suggest logically define	http://snomed.info/id/4422003	6	blood group antigen	710	8.672	2.675	11	7.364	2.091	0.985	Substance
Lexically suggest logically define	http://snomed.info/id/122859005	5	reduction of fracture	342	6.936	2.006	11	6.818	1.818	0.969	Procedure
Lexically suggest logically define	http://snomed.info/id/372087000	7	primary malignant neoplasm	574	8.944	1.972	15	7.933	0.933	0.975	Clinical finding
Lexically suggest logically define	http://snomed.info/id/269736006	5	poisoning of undetermined intent	501	7.052	2.052	2	4.000	1.000	0.996	Clinical finding
Lexically suggest logically define	http://snomed.info/id/420692007	5	conventional release oral capsule	696	7.129	2.129	0	NaN	NaN	1.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/421026006	5	conventional release oral tablet	2286	7.212	2.212	0	NaN	NaN	1.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/385219001	5	conventional release solution for injection	464	7.058	2.058	372	7.124	2.124	0.555	Qualifier value
Lexically suggest logically define	http://snomed.info/id/385223009	5	powder for conventional release solution for injection	357	7.120	2.120	15	7.200	2.200	0.960	Qualifier value
